type;language;license;rightsHolder;accessRights;datasetID;institutionCode;datasetName;basisOfRecord;occurrenceID;recordedBy;individualCount;occurrenceStatus;eventDate;continent;countryCode;verbatimLatitude;verbatimLongitude;verbatimCoordinates;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;coordinateUncertaintyInMeters;identifiedBy;scientificName;kingdom;scientificNameAuthorship;taxonRank;nomenclaturalCode
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;68f4db29-1c51-4e98-8037-08d8721755f8;Waterschap Rivierenland;1;present;23/04/2019;Europe;NL;4.323.318.607;1.378.551.327;38-48;Rijksdriehoekscoördinaten;EPSG:28992;51.87926;5.13821;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;637772ce-f40a-479d-0d87-08d8721755fb;Waterschap Rivierenland;1;present;2/10/2019;Europe;NL;4.287.123.031;1.654.209.748;39-56;Rijksdriehoekscoördinaten;EPSG:28992;51.84689;5.53844;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;e4438eb1-1662-4b58-93f2-08d872175602;Waterschap Rivierenland;1;present;29/04/2019;Europe;NL;4.322.484.413;1.383.053.414;38-48;Rijksdriehoekscoördinaten;EPSG:28992;51.87852;5.14475;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;027891cb-8c76-478d-1654-08d872175605;Waterschap Rivierenland;1;present;29/04/2019;Europe;NL;4.322.484.413;1.383.053.414;38-48;Rijksdriehoekscoördinaten;EPSG:28992;51.87852;5.14475;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;334a3e28-a51e-4b29-c15c-08d87217565f;Waterschap Rivierenland;1;present;10/01/2019;Europe;NL;4.267.728.866;1.675.414.796;39-56;Rijksdriehoekscoördinaten;EPSG:28992;51.82942;5.56914;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;9e67f601-68a7-4f5e-8860-08d8721756b8;Waterschap Rivierenland;1;present;22/11/2019;Europe;NL;4.264.293.444;1.435.191.766;39-51;Rijksdriehoekscoördinaten;EPSG:28992;51.82635;5.22066;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;a76e8ea2-1173-4abf-3661-08d8721756c3;Waterschap Rivierenland;1;present;9/08/2019;Europe;NL;4.302.455.097;1.377.457.956;38-48;Rijksdriehoekscoördinaten;EPSG:28992;51.86050;5.13673;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;50b99cb1-77f1-45de-5203-08d8721756c5;Waterschap Rivierenland;1;present;9/07/2019;Europe;NL;4.302.455.097;1.377.457.956;38-48;Rijksdriehoekscoördinaten;EPSG:28992;51.86050;5.13673;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;8e8cf890-7479-4212-6fdb-08d8721756c7;Waterschap Rivierenland;1;present;18/06/2019;Europe;NL;4.302.455.097;1.377.457.956;38-48;Rijksdriehoekscoördinaten;EPSG:28992;51.86050;5.13673;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;f7c35146-0d6f-49ab-9379-08d8721756c9;Waterschap Rivierenland;1;present;20/11/2019;Europe;NL;4.264.293.444;1.435.191.766;39-51;Rijksdriehoekscoördinaten;EPSG:28992;51.82635;5.22066;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
